id,name,slug,logoUrl
1cdf4477-f1db-4444-ac52-cb34c06bdf98,Nova,nova,
02664f5d-9fc8-4a73-ad4d-af0c636ac975,Zenith,zenith,
d9473997-4972-49fa-afca-292f068b1c0d,Urban Edge,urban-edge,
0709ae63-126c-48f5-bfd7-249e276cc1d0,Pure Living,pure-living,
6a33a8e0-b007-4bab-a5d8-fe7334e1571e,Apex Gear,apex-gear,
bc8e5b81-224b-49b8-a9e0-617276d0601a,Bright Home,bright-home,
38fe5ff3-331d-49a1-afde-2111ae92f3a3,Trendify,trendify,
2578be8c-af9e-4366-8e87-f6b6132a0d4d,Everyday Essentials,everyday-essentials,
28660588-c024-4d81-8d09-8bd42223f1a9,Peak Performance,peak-performance,
584f0bfe-f600-4cbc-9ff3-923419ba96ed,Lumin,lumin,
278f3623-d35c-48bb-a43e-94635e8cef64,Craft & Co,craft-co,
f87917e9-127f-403b-9e44-65092d81f281,Vitality,vitality,
89ea2f17-c2ca-4fef-ae5a-6dd6957c69a1,Solstice,solstice,
5ac558dd-7bb9-4a4b-bb5b-98235542daca,Momentum,momentum,
