id,productId,date,unitsSold,revenue,avgPrice,viewCount,stockEndOfDay
3519e8ed-11c4-43f4-b22b-fd4384d746b2,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-22,0,0,2727.3173801369776,1,10
3afeae7c-5c02-494f-9c44-53ee7016fa52,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-23,2,0,2727.3173801369776,2,157
6877b6b2-96f5-47d1-9bb8-8e0e724d4ef5,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-24,4,0,2727.3173801369776,2,142
189a9a78-9499-4449-b886-84072ca4531d,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-25,3,0,2727.3173801369776,1,179
b8bf0514-1f55-407a-a90e-8ee2a4ce1283,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-26,2,0,2727.3173801369776,3,133
04a365ac-820e-413d-b5b8-9e71b01231ba,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-27,2,0,2727.3173801369776,3,173
07e4c828-e126-4512-a629-0999810bd8a8,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-28,2,0,2727.3173801369776,3,193
08c5af8d-72bf-4471-8b02-a5a01c17a50a,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-30,7,0,2727.3173801369776,1,90
2003bcc8-4ace-4b88-8b54-c0c2dcdf2eda,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-05-31,3,0,2727.3173801369776,2,198
c09f979c-be44-4ee1-9bd8-b6135c7f1a75,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-01,3,0,2727.3173801369776,2,146
bf46803b-cd1e-43cf-b9f9-5565014c825c,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-02,5,0,2727.3173801369776,3,44
ada7beb4-e4d9-4524-933a-0ddd19c2fc0c,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-03,7,0,2727.3173801369776,3,152
bd8cb802-ef5e-4990-b956-b1a4b9fd8a2c,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-04,4,0,2727.3173801369776,2,77
1474ab36-3597-44a0-b72d-351a47d4f59d,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-05,0,0,2727.3173801369776,2,127
369615df-af1e-452b-a962-6bd2f0ff4c5a,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-06,0,0,2727.3173801369776,3,98
8c264345-e62d-43a0-87c0-0113ab73dcb8,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-07,8,0,2727.3173801369776,2,64
bce0d4e4-f94d-4a6d-8e32-f127e9795df3,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-09,6,0,2727.3173801369776,1,46
a315e52d-ab27-4d08-af79-cbc5a2959e69,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-10,8,0,2727.3173801369776,2,143
9a0bf36f-f87c-421d-8fdd-abf953c0a703,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-11,8,0,2727.3173801369776,2,71
2394fea6-7133-418f-88e5-e5f66cc955f8,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-12,4,0,2727.3173801369776,5,124
59fa7954-d427-4c97-b1ed-347ca80396b2,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-13,2,0,2727.3173801369776,2,55
9e1b3b1e-7b88-426b-9c4b-027409a3eaa3,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-14,9,0,2727.3173801369776,2,117
5ad1d898-bd17-4511-bce5-652b2caa8ce3,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-15,0,0,2727.3173801369776,1,81
56de7670-0af0-4e98-86ee-0d7b5747e951,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-17,6,0,2727.3173801369776,1,43
486c18e2-3e01-4569-b3d4-f300aaa4fbf4,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-18,8,0,2727.3173801369776,2,49
97d3cce9-1eaf-466f-b87e-0ef4acc11230,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-19,7,0,2727.3173801369776,1,111
86e0a77f-ee9e-4dc3-a958-17f265c130a9,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-20,9,0,2727.3173801369776,1,17
d27d1f52-2b4b-4405-ae5c-0081f306df06,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-21,9,0,2727.3173801369776,2,140
090d3f6a-daf3-4c2b-b623-fb5c2c69be0d,0060db38-4fa7-4234-a724-05aecf4d76ec,2026-06-22,3,0,2727.3173801369776,2,176
