id,name,slug,description,categoryId,brandId,basePrice,createdAt,updatedAt
bb483a44-bc2e-4d87-822d-04071d6bc9d2,Home and Garden Product 0,home-and-garden-product-0,A great Home and Garden product from Craft & Co.,4f2cb014-abf4-42d6-93f8-f801ea7b1173,278f3623-d35c-48bb-a43e-94635e8cef64,9791.501559673245,2026-01-01,2026-01-01
730f446e-d92f-42fc-9bda-c2faa1039493,Sports and Outdoors Product 1,sports-and-outdoors-product-1,A great Sports and Outdoors product from Peak Performance.,7adad1e0-c8e3-4c6d-8d7d-81873cecb006,28660588-c024-4d81-8d09-8bd42223f1a9,9342.636274035774,2026-01-01,2026-01-01
ba3ede2d-bc2d-4295-819a-acf758e2ffcd,Groceries Product 2,groceries-product-2,A great Groceries product from Peak Performance.,a9f62412-ab4e-46a4-b908-215d900d4611,28660588-c024-4d81-8d09-8bd42223f1a9,2871.0122341583933,2026-01-01,2026-01-01
3a18c9ee-7789-444e-a861-7a357c645238,Books Product 3,books-product-3,A great Books product from Solstice.,167dd0df-3dc4-4f24-84ce-c8fd765905a4,89ea2f17-c2ca-4fef-ae5a-6dd6957c69a1,4828.749656480379,2026-01-01,2026-01-01
d44025be-1f64-46e7-b713-4921303ea488,Clothing Product 4,clothing-product-4,A great Clothing product from Everyday Essentials.,0c4c8110-d542-431d-87fd-89c15fb61e5b,2578be8c-af9e-4366-8e87-f6b6132a0d4d,6800.590047695969,2026-01-01,2026-01-01
a47f609c-0afd-40bb-9021-4edba1041147,Groceries Product 5,groceries-product-5,A great Groceries product from Urban Edge.,a9f62412-ab4e-46a4-b908-215d900d4611,d9473997-4972-49fa-afca-292f068b1c0d,7779.894625099746,2026-01-01,2026-01-01
4129a81a-633e-4988-af75-cb1c91272c49,Groceries Product 6,groceries-product-6,A great Groceries product from Nova.,a9f62412-ab4e-46a4-b908-215d900d4611,1cdf4477-f1db-4444-ac52-cb34c06bdf98,9253.490865055626,2026-01-01,2026-01-01
2209ef87-5989-4884-af20-b1495d491a60,Toys and Games Product 7,toys-and-games-product-7,A great Toys and Games product from Pure Living.,04a586fb-05d6-43e7-8899-82be5e81b1f7,0709ae63-126c-48f5-bfd7-249e276cc1d0,6922.453792978951,2026-01-01,2026-01-01
875381dc-6313-4a34-82f8-031c291b454a,Home and Garden Product 8,home-and-garden-product-8,A great Home and Garden product from Pure Living.,4f2cb014-abf4-42d6-93f8-f801ea7b1173,0709ae63-126c-48f5-bfd7-249e276cc1d0,3658.0168328249847,2026-01-01,2026-01-01
b65961ee-4f1f-4556-ba1d-19b6549b7519,Sports and Outdoors Product 9,sports-and-outdoors-product-9,A great Sports and Outdoors product from Zenith.,7adad1e0-c8e3-4c6d-8d7d-81873cecb006,02664f5d-9fc8-4a73-ad4d-af0c636ac975,8107.917223012519,2026-01-01,2026-01-01
724fa03c-bce9-48fd-b64f-50a7358624ec,Beauty and Personal Care Product 10,beauty-and-personal-care-product-10,A great Beauty and Personal Care product from Nova.,1c05029c-c897-4135-a7d0-cb3f9130bb3f,1cdf4477-f1db-4444-ac52-cb34c06bdf98,2934.618374013296,2026-01-01,2026-01-01
378897cc-924c-47f1-b226-1e22506a82a9,Toys and Games Product 11,toys-and-games-product-11,A great Toys and Games product from Solstice.,04a586fb-05d6-43e7-8899-82be5e81b1f7,89ea2f17-c2ca-4fef-ae5a-6dd6957c69a1,3115.577565702545,2026-01-01,2026-01-01
66419dfd-a8f4-49f3-a16e-850fef2c2242,Home and Garden Product 12,home-and-garden-product-12,A great Home and Garden product from Momentum.,4f2cb014-abf4-42d6-93f8-f801ea7b1173,5ac558dd-7bb9-4a4b-bb5b-98235542daca,8310.562639592987,2026-01-01,2026-01-01
1e1867d5-4336-4c22-80ba-186a1d46e9ac,Books Product 13,books-product-13,A great Books product from Momentum.,167dd0df-3dc4-4f24-84ce-c8fd765905a4,5ac558dd-7bb9-4a4b-bb5b-98235542daca,9293.7613177466,2026-01-01,2026-01-01
090f4b59-aa2b-49d0-a78f-47ca45b5a5e6,Sports and Outdoors Product 14,sports-and-outdoors-product-14,A great Sports and Outdoors product from Everyday Essentials.,7adad1e0-c8e3-4c6d-8d7d-81873cecb006,2578be8c-af9e-4366-8e87-f6b6132a0d4d,5225.914090212927,2026-01-01,2026-01-01
3f089685-6fa4-4771-acda-3668017de874,Electronics Product 15,electronics-product-15,A great Electronics product from Everyday Essentials.,f1734bdc-1bd8-41d7-a347-608eff237041,2578be8c-af9e-4366-8e87-f6b6132a0d4d,8055.184612937322,2026-01-01,2026-01-01
69838969-8a8a-424a-9a51-d9abc53dd812,Electronics Product 16,electronics-product-16,A great Electronics product from Bright Home.,f1734bdc-1bd8-41d7-a347-608eff237041,bc8e5b81-224b-49b8-a9e0-617276d0601a,4727.690227267619,2026-01-01,2026-01-01
